DIVIPOLA 2011  (VIVIENDAS, HOGARES Y PERSONAS 2005);Clase;Departamento;Municipio;Nombre centro;Tipo;Manzanas;Viviendas;Hogares;Personas;Grados;Minutos;Segundos;Latitud;grados;minutos;segundos;Longitud;geo_point
477452001;2;MAGDALENA;SITIONUEVO;BUENAVISTA;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
053472001;2;ANTIOQUIA;HELICONIA;ALTO DEL CORRAL;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
477452003;2;MAGDALENA;SITIONUEVO;PALERMO;C;121.0;1374.0;1430.0;6042.0;-74.0;44.0;34.3751424;;10.0;57.0;37.81624068;10.9605045113;-74.742881984,10.9605045113
053472003;2;ANTIOQUIA;HELICONIA;LLANOS DE SAN JOSE;IPD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
477452006;2;MAGDALENA;SITIONUEVO;SAN ANTONIO;CAS;4.0;97.0;86.0;309.0;-74.0;42.0;26.21027772;;10.0;51.0;47.42725536;10.8631742376;-74.7072806327,10.8631742376
053472007;2;ANTIOQUIA;HELICONIA;EL HATILLO;CAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
477981000;1;MAGDALENA;TENERIFE;TENERIFE;CM;170.0;1170.0;1159.0;5637.0;-74.0;51.0;25.08800868;;9.0;53.0;52.031646204;9.89778656839;-74.8569688913,9.89778656839
053473000;3;ANTIOQUIA;HELICONIA;HELICONIA;R;0.0;1145.0;901.0;3513.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
477982005;2;MAGDALENA;TENERIFE;SAN LUIS;C;40.0;329.0;343.0;1789.0;-74.0;50.0;33.97033608;;9.0;49.0;52.950395388;9.83137510983;-74.8427695378,9.83137510983
053533000;3;ANTIOQUIA;HISPANIA;HISPANIA;R;0.0;491.0;421.0;1754.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
477982008;2;MAGDALENA;TENERIFE;SANTA INES;C;28.0;159.0;162.0;854.0;-74.0;43.0;18.60363084;;9.0;58.0;23.08549854;9.97307930515;-74.7218343419,9.97307930515
477982010;2;MAGDALENA;TENERIFE;EL CONSUELO;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
053602003;2;ANTIOQUIA;ITAGUI;EL AJIZAL;CP;16.0;734.0;715.0;2925.0;-75.0;36.0;22.44792888;;6.0;11.0;35.641328964;6.19323370249;-75.6062355358,6.19323370249
479601000;1;MAGDALENA;ZAPAYAN;PUNTA DE PIEDRAS;CM;92.0;588.0;635.0;3181.0;-74.0;43.0;3.75917664;;10.0;10.0;10.49450412;10.1695818067;-74.7177108824,10.1695818067
053602006;2;ANTIOQUIA;ITAGUI;EL PEDREGAL;CP;8.0;605.0;587.0;2372.0;-75.0;37.0;2.07517296001;;6.0;11.0;22.697063556;6.18963807321;-75.6172431036,6.18963807321
479602002;2;MAGDALENA;ZAPAYAN;CAPUCHO;C;18.0;107.0;88.0;430.0;-74.0;43.0;28.21061316;;10.0;9.0;23.08329432;10.1564120262;-74.7245029481,10.1564120262
053602013;2;ANTIOQUIA;ITAGUI;EL PROGRESO;CP;6.0;187.0;180.0;711.0;-75.0;36.0;53.02476648;;6.0;11.0;9.120507756;6.18586680771;-75.6147291018,6.18586680771
479602004;2;MAGDALENA;ZAPAYAN;PIEDRAS PINTADAS;C;22.0;170.0;211.0;1010.0;-74.0;45.0;33.58543788;;10.0;5.0;33.57278052;10.0926591057;-74.7593292883,10.0926591057
053602015;2;ANTIOQUIA;ITAGUI;LOS OLIVARES;CP;23.0;546.0;537.0;2213.0;-75.0;37.0;13.75988052;;6.0;10.0;31.476391536;6.17541010876;-75.6204888557,6.17541010876
053603000;3;ANTIOQUIA;ITAGUI;ITAGUI;R;0.0;734.0;703.0;2898.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
479802011;2;MAGDALENA;ZONA BANANERA;VARELA;C;51.0;615.0;591.0;2992.0;-74.0;10.0;7.96433700002;;10.0;52.0;29.31360528;10.8748093348;-74.1688789825,10.8748093348
053612002;2;ANTIOQUIA;ITUANGO;EL ARO - BUILOPOLIS;CAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
479802013;2;MAGDALENA;ZONA BANANERA;ESTACION SEVILLA;CAS;37.0;402.0;405.0;2020.0;-74.0;9.0;27.36622512;;10.0;45.0;40.21667172;10.7611712977;-74.1576017292,10.7611712977
500012005;2;META;VILLAVICENCIO;COCUY;C;2.0;37.0;39.0;160.0;-73.0;35.0;58.24853556;;4.0;2.0;55.270798908;4.04868633303;-73.5995134821,4.04868633303
053612005;2;ANTIOQUIA;ITUANGO;SANTA ANA;CAS;8.0;29.0;17.0;52.0;-75.0;52.0;7.96406160002;;7.0;9.0;45.804716244;7.16272353229;-75.868878906,7.16272353229
053612006;2;ANTIOQUIA;ITUANGO;SANTA LUCIA;CAS;4.0;25.0;25.0;150.0;-75.0;49.0;30.54907488;;7.0;18.0;49.882185648000004;7.31385616268;-75.8251525208,7.31385616268
053612007;2;ANTIOQUIA;ITUANGO;SANTA RITA;C;29.0;363.0;349.0;1420.0;-75.0;36.0;58.16283516;;7.0;19.0;13.150492212;7.32031958117;-75.6161563431,7.32031958117
500012014;2;META;VILLAVICENCIO;SAN LUIS DE OCOA;CAS;4.0;49.0;50.0;225.0;-73.0;42.0;14.8377474;;4.0;4.0;48.79847964;4.0802217999;-73.7041215965,4.0802217999
053641000;1;ANTIOQUIA;JARDIN;JARDIN;CM;68.0;2211.0;2034.0;6968.0;-75.0;49.0;23.07137952;;5.0;36.0;3.287713068;5.60091325363;-75.8230753832,5.60091325363
053642004;2;ANTIOQUIA;JARDIN;LA CASCADA;IPD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
270012064;2;CHOCO;QUIBDO;BOCA DE TANANDO;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
053643000;3;ANTIOQUIA;JARDIN;JARDIN;R;0.0;1815.0;1725.0;7355.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
053681000;1;ANTIOQUIA;JERICO;JERICO;CM;79.0;2271.0;2009.0;7754.0;-75.0;47.0;4.6734738;;5.0;47.0;32.626879224;5.79239635534;-75.7846315205,5.79239635534
270013000;3;CHOCO;QUIBDO;SAN FRANCISCO DE QUIBDO;R;0.0;1876.0;1337.0;5366.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
053682005;2;ANTIOQUIA;JERICO;GUACAMAYAL;CAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
270061000;1;CHOCO;ACANDI;ACANDI;CM;84.0;1410.0;1220.0;4487.0;-77.0;16.0;44.79218976;;8.0;30.0;42.309811656;8.51175272546;-77.2791089416,8.51175272546
053682009;2;ANTIOQUIA;JERICO;LA FE;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
270062003;2;CHOCO;ACANDI;CAPURGANA;IPD;46.0;429.0;373.0;1222.0;-77.0;20.0;36.99780504;;8.0;38.0;5.022843;8.6347285675;-77.3436105014,8.6347285675
053761000;1;ANTIOQUIA;LA CEJA;LA CEJA;CM;396.0;9556.0;9661.0;38572.0;-75.0;25.0;44.85274176;;6.0;1.0;44.128713756;6.02892464271;-75.4291257616,6.02892464271
500012023;2;META;VILLAVICENCIO;BELLA SUIZA;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
